YDB   30.9100 110.7700 0.6130
LZY   30.9400 110.7800 0.2250
YGT   31.0300 110.7400 0.3820
TPX   30.9100 110.9300 0.2090
CJP   31.0100 110.6500 0.2480
STB   31.0400 110.6700 0.3740
BJH   31.0800 110.5600 0.6460
FJP   31.0300 110.4700 0.3520
MLC   31.0000 110.3700 0.8830
PLT   30.9300 110.5900 0.3270
DTP   31.1700 110.4400 0.7410
JJP   30.9800 110.8100 1.0040
ZJW   30.9700 110.7500 0.4000
PYB   31.1600 110.4000 0.3280
DPC   31.0400 110.3000 0.2070
LPT   31.1700 110.3100 0.2150
SBC   31.0900 110.3900 0.6180
STP   31.0900 110.2800 0.6090
WLZ   31.0700 110.3300 0.4480
